Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Strawberry, Darryl",rf,29,Type A,NYN,LAN,5,"$20,250,000 ",1991-96,,,"$4,050,000",Eric Goldschmidt,Peter O'Malley,Fred Claire,
"Higuera, Ted",lhp-s,33,Type B,MIL,MIL,4,"$13,000,000 ",1991-94,,,"$3,250,000",Bronner/Gilhooley,Bud Selig,Harry Dalton,
"McGee, Willie",cf,32,Type A,OAK,SFN,4,"$13,000,000 ",1991-94,,,"$3,250,000",Reich Katz Landis,Bob Lurie,Al Rosen,
"Welch, Bob",rhp-s,34,Type A,OAK,OAK,4,"$13,000,000 ",1991-94,,,"$3,250,000",Bob Teaff,Walter Haas Jr.,Sandy Alderson,
"Browning, Tom",lhp-s,31,Type A,CIN,CIN,4,"$12,483,333 ",1991-94,club,,"$3,120,833",Bronner/Gilhooley,Marge Schott,Bob Quinn Sr.,
"Coleman, Vince",lf,29,Type B,SLN,NYN,4,"$11,950,000 ",1991-94,,,"$2,987,500",Richie Bry,Wilpon/Doubleday,Frank Cashen,
"Smith, Zane",lhp-s,30,Type B,PIT,PIT,4,"$10,600,000 ",1991-94,,,"$2,650,000",Joe Sroba,Pittsburgh Assocs.,Larry Doughty,
"Jackson, Danny",lhp-s,29,,CIN,CHN,4,"$10,500,000 ",1991-94,,,"$2,625,000",Ron Shapiro,Tribune Co.,Jim Frey,
"Pendleton, Terry",3b,30,Type A,SLN,ATL,4,"$10,200,000 ",1991-94,,,"$2,550,000",Bronner/Gilhooley,Ted Turner,John Schuerholz,
"Black, Bud",lhp-s,34,Type A,TOR,SFN,4,"$10,000,000 ",1991-94,,,"$2,500,000",Bronner/Gilhooley,Bob Lurie,Al Rosen,
"Righetti, Dave",lhp-s,32,Type B,NYA,SFN,4,"$10,000,000 ",1991-94,,,"$2,500,000",Bill Goodstein,Bob Lurie,Al Rosen,
"Bell, George",of,31,,TOR,CHN,3,"$9,800,000 ",1991-93,club,,"$3,266,666",Hendricks Sports,Tribune Co.,Jim Frey,
"Boddicker, Mike",rhp-s,33,Type A,BOS,KCA,3,"$9,250,000 ",1991-93,,,"$3,083,333",Ron Shapiro,Ewing Kauffman,Herk Robinson,
"Doran, Bill",2b,33,Type A,CIN,CIN,3,"$7,300,000 ",1991-93,club,,"$2,433,333",Jim Turner,Marge Schott,Bob Quinn Sr.,
"Daulton, Darren",c,29,Type A,PHI,PHI,3,"$6,750,000 ",1991-93,,,"$2,250,000",Arn Tellum,Bill Giles,Lee Thomas,
"Gross, Kevin",rhp-s,30,Type B,MON,LAN,3,"$6,400,000 ",1991-93,,,"$2,133,333",Tony Attanasio,Peter O'Malley,Fred Claire,
