Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Rodriguez, Alex",ss,25,Type A,SEA,TEX,10,"$252,000,000 ",2001-10,,,"$25,200,000",Boras Corp.,Tom Hicks,Doug Melvin,
"Ramirez, Manny",of,29,Type A,CLE,BOS,8,"$160,000,000 ",2001-08,club,,"$20,000,000",Jeff Moorad,JRY Trust,Dan Duquette,
"Hampton, Mike",lhp-s,28,Type A,NYN,COL,8,"$121,000,000 ",2001-08,,,"$15,125,000",Mark Rodgers,Jerry McMorris,Dan O'Dowd,
"Mussina, Mike",rhp-s,32,Type A,BAL,NYA,6,"$88,500,000 ",2001-06,club,,"$14,750,000",Arn Tellem,Geo Steinbrenner,Brian Cashman,
"Dreifort, Darren",rhp-s,29,Type A,LAN,LAN,5,"$55,000,000 ",2001-05,,,"$11,000,000",Boras Corp.,Fox Ent Group,Kevin Malone,
"Neagle, Denny",lhp-s,32,Type A,NYA,COL,5,"$51,000,000 ",2001-05,,,"$10,200,000",Meister Sports,Jerry McMorris,Dan O'Dowd,
"Appier, Kevin",rhp-s,33,Type A,OAK,NYN,4,"$42,000,000 ",2001-04,,,"$10,500,000",Dennis Gilbert,Wilpon/Doubleday,Steve Phillips,
"Johnson, Charles",c,29,Type A,CHA,FLA,5,"$35,000,000 ",2001-05,,,"$7,000,000",Boras Corp.,John Henry,Dave Dombrowski,
"Segui, David",1b,34,Type A,CLE,SLN,4,"$28,000,000 ",2001-04,,,"$7,000,000",,Bill DeWitt Jr.,Walt Jocketty,
"Hundley, Todd",c,32,Type A,LAN,CHN,4,"$23,500,000 ",2001-04,,,"$5,875,000",ACES,Tribune Co.,Andy MacPhail,
"Ashby, Andy",rhp-s,33,Type A,ATL,LAN,3,"$22,500,000 ",2001-03,,,"$7,500,000",,Fox Ent Group,Kevin Malone,
"Hammonds, Jeffrey",of,30,Type A,COL,MIL,3,"$21,750,000 ",2001-03,,,"$7,250,000",Boras Corp.,Wendy Selig-Prieb,Dean Taylor,
"Reed, Rick",rhp,36,Type A,NYN,NYN,3,"$21,750,000 ",2001-03,,,"$7,250,000",Phil Tannenbaum,Wilpon/Doubleday,Steve Phillips,
"Burks, Ellis",of,36,Type A,SFN,CLE,3,"$20,000,000 ",2001-03,,,"$6,666,666",Jim Turner,Larry Dolan,John Hart,
"Gonzalez, Alex",ss,28,Type B,TOR,TOR,4,"$20,000,000 ",2001-04,,,"$5,000,000",Bronner/Gilhooley,Edward Rogers,Gord Ash,
"Valentin, Jose",ss,31,Type A,CHA,CHA,3,"$15,500,000 ",2001-03,,,"$5,166,666",David Elston,Jerry Reinsdorf,Ken Williams,
"Nelson, Jeff",rhp,34,Type A,NYA,SEA,3,"$10,650,000 ",2001-03,,,"$3,550,000",Jay Franklin,Nintendo/America,Pat Gillick,
