Player,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Alvarez, Wilson",lhp-s,28,Type A,SFN,TBA,5,"$35,000,000 ",1998-2002,,,"$7,000,000",Boras Corp.,Vince Naimoli,Chuck LaMar,
"Bell, Jay",ss,32,Type A,KCA,ARI,5,"$34,000,000 ",1998-2002,,,"$6,800,000",Boras Corp.,Jerry Colangelo,Joe Garagiola Jr.,
"Anderson, Brady",of,34,Type A,BAL,BAL,5,"$31,000,000 ",1998-2002,,,"$6,200,000",Dennis Gilbert,Peter Angelos,Pat Gillick,
"Galarraga, Andres",1b,37,Type A,COL,ATL,3,"$24,750,000 ",1998-2000,,,"$8,250,000",Bronner/Gilhooley,Time Warner,John Schuerholz,
"Kile, Darryl",rhp-s,29,Type A,HOU,COL,3,"$24,000,000 ",1998-2000,,,"$8,000,000",Barry Axelrod,Jerry McMorris,Bob Gebhard,
"Lofton, Kenny",of,31,Type A,ATL,CLE,3,"$24,000,000 ",1998-2000,,,"$8,000,000",Casey Close,Richard Jacobs,John Hart,
"Hernandez, Roberto",rhp,33,Type A,SFN,TBA,4,"$22,500,000 ",1998-2001,,,"$5,625,000",Hendricks Sports,Vince Naimoli,Chuck LaMar,
"Benes, Andy",rhp-s,30,Type A,SLN,ARI,3,"$18,000,000 ",1998-2000,,,"$6,000,000",Boras Corp.,Jerry Colangelo,Joe Garagiola Jr.,
"Myers, Randy",lhp,35,Type A,BAL,TOR,3,"$18,000,000 ",1998-2000,,,"$6,000,000",David Fishof,Interbrew SA,Gord Ash,
"Hill, Ken",rhp-s,32,Type A,ANA,ANA,3,"$16,050,000 ",1998-2000,,,"$5,350,000",Reynolds Sports,Jackie Autry,Bill Bavasi,
"Blair, Willie",rhp,32,Type A,DET,ARI,3,"$11,500,000 ",1998-2000,,,"$3,833,333",,Jerry Colangelo,Joe Garagiola Jr.,
"Vizcaino, Jose",ss,30,Type A,SFN,LAN,3,"$10,500,000 ",1998-2000,,,"$3,500,000",Reich Katz Landis,Fox Ent Group,Fred Claire,
